Serial_Reading,_18b20_Temp_C ,_18b20_Temp_Fh, Current_humidity,Object_Temperature,NW_cooling,Critical_Level
421,-11.19,11.86,0.56,-11.19,0,0.093161334
422,-11.19,11.86,0.56,-11.19,0,0.606477741
423,-11.19,11.86,0.56,-11.19,0,0.673230888
424,-11.19,11.86,0.56,-11.19,0,0.161604653
425,-11.25,11.75,0.56,-11.25,0,0.87165802
426,-11.19,11.86,0.56,-11.19,0,0.353713934
427,-11.19,11.86,0.56,-11.19,0,0.061473165
428,-11.19,11.86,0.56,-11.19,0,0.206228995
429,-11.19,11.86,0.56,-11.19,0,0.862024192
430,-11.19,11.86,0.56,-11.19,0,0.989525128
431,-11.19,11.86,0.56,-11.19,0,0.022258899
432,-11.19,11.86,0.56,-11.19,0,0.350243054
433,-11.19,11.86,0.56,-11.19,0,0.102139623
434,-11.19,11.86,0.56,-11.19,0,0.864757436
435,-11.19,11.86,0.56,-11.19,0,0.844477367
436,-11.19,11.86,0.56,-11.19,0,0.63457778
437,-11.19,11.86,0.56,-11.19,0,0.130512927
438,-11.19,11.86,0.56,-11.19,0,0.885342217
439,-11.19,11.86,0.56,-11.19,0,0.094060112
440,-11.19,11.86,0.56,-11.19,0,0.447469036
441,-11.19,11.86,0.56,-11.19,0,0.197034089
442,-11.19,11.86,0.56,-11.19,0,0.183678981
443,-11.19,11.86,0.56,-11.19,0,0.835064333
444,-11.19,11.86,0.56,-11.19,0,0.37952366
445,-11.19,11.86,0.56,-11.19,0,0.027077783
446,-11.19,11.86,0.56,-11.19,0,0.225331595
447,-11.19,11.86,0.56,-11.19,0,0.869132755
448,-11.19,11.86,0.56,-11.19,0,0.361364533
449,-11.19,11.86,0.56,-11.19,0,0.268651221
450,-11.19,11.86,0.56,-11.19,0,0.043164553
451,-11.19,11.86,0.56,-11.19,0,0.358798844
452,-11.19,11.86,0.56,-11.19,0,0.600761786
453,-11.19,11.86,0.56,-11.19,0,0.045003565
454,-11.19,11.86,0.56,-11.19,0,0.174873984
455,-11.19,11.86,0.56,-11.19,0,0.196465375
456,-11.19,11.86,0.56,-11.19,0,0.64086149
457,-11.19,11.86,0.56,-11.19,0,0.136886406
458,-11.19,11.86,0.56,-11.19,0,0.454139904
459,-11.19,11.86,0.56,-11.19,0,0.36782408
460,-11.19,11.86,0.56,-11.19,0,0.059883746
461,-11.19,11.86,0.56,-11.19,0,0.319428007
462,-11.19,11.86,0.56,-11.19,0,0.363980203
463,-11.19,11.86,0.56,-11.19,0,0.121331153
464,-11.19,11.86,0.56,-11.19,0,0.847563129
465,-11.19,11.86,0.56,-11.19,0,0.838109898
466,-11.19,11.86,0.56,-11.19,0,0.738811576
467,-11.19,11.86,0.56,-11.19,0,0.083358762
468,-11.19,11.86,0.56,-11.19,0,0.746131745
469,-11.19,11.86,0.56,-11.19,0,0.446012908
470,-11.19,11.86,0.56,-11.19,0,0.431713987
471,-11.19,11.86,0.56,-11.19,0,0.621020152
472,-11.19,11.86,0.56,-11.19,0,0.441375893
473,-11.19,11.86,0.56,-11.19,0,0.458433729
474,-11.19,11.86,0.56,-11.19,0,0.746794701
475,-11.19,11.86,0.56,-11.19,0,0.286449186
476,-11.19,11.86,0.56,-11.19,0,0.859111097
477,-11.19,11.86,0.56,-11.19,0,0.437975068
478,-11.19,11.86,0.56,-11.19,0,0.742342277
479,-11.19,11.86,0.56,-11.19,0,0.237399601
480,-11.19,11.86,0.56,-11.19,0,0.628859861
481,-11.19,11.86,0.56,-11.19,0,0.504544057
482,-11.19,11.86,0.56,-11.19,0,0.903026554
483,-11.19,11.86,0.56,-11.19,0,0.102051261
484,-11.19,11.86,0.56,-11.19,0,0.770919573
485,-11.19,11.86,0.56,-11.19,0,0.756952408
486,-11.19,11.86,0.56,-11.19,0,0.770523318
487,-11.19,11.86,0.56,-11.19,0,0.540500416
488,-11.19,11.86,0.57,-11.19,0,0.884487353
489,-11.19,11.86,0.57,-11.19,0,0.675814055
490,-11.19,11.86,0.57,-11.19,0,0.322866348
491,-11.19,11.86,0.57,-11.19,0,0.28171629
